id,session,exp_name,exp_start,stimuli,stim_start,response,rt,block,stim_targ_names,resp_key,stim_dur,type
examplefmt1,1,PGNGS_RST_750_english,16.8684844,L_f.bmp,323.2017755,,,1,"['L_s.bmp', 'L_r.bmp']",n,0.75,go
examplefmt1,1,PGNGS_RST_750_english,16.8684844,L_d.bmp,323.9525409,,,1,"['L_s.bmp', 'L_r.bmp']",n,0.75,go
examplefmt1,1,PGNGS_RST_750_english,16.8684844,L_r.bmp,324.7021189,n,0.4061362,1,"['L_s.bmp', 'L_r.bmp']",n,0.75,go
examplefmt1,1,PGNGS_RST_750_english,16.8684844,L_c.bmp,325.4525269,,,1,"['L_s.bmp', 'L_r.bmp']",n,0.75,go
examplefmt1,1,PGNGS_RST_750_english,16.8684844,L_n.bmp,326.2014117,,,1,"['L_s.bmp', 'L_r.bmp']",n,0.75,go
examplefmt1,1,PGNGS_RST_750_english,16.8684844,L_h.bmp,326.9525534,,,1,"['L_s.bmp', 'L_r.bmp']",n,0.75,go
examplefmt1,1,PGNGS_RST_750_english,16.8684844,L_g.bmp,327.7019946,,,1,"['L_s.bmp', 'L_r.bmp']",n,0.75,go
examplefmt1,1,PGNGS_RST_750_english,16.8684844,L_l.bmp,328.452311,,,1,"['L_s.bmp', 'L_r.bmp']",n,0.75,go
examplefmt1,1,PGNGS_RST_750_english,16.8684844,L_s.bmp,329.2015932,n,0.4503418,1,"['L_s.bmp', 'L_r.bmp']",n,0.75,go
examplefmt1,1,PGNGS_RST_750_english,16.8684844,L_f.bmp,329.9526131,,,1,"['L_s.bmp', 'L_r.bmp']",n,0.75,go
examplefmt1,1,PGNGS_RST_750_english,16.8684844,L_n.bmp,330.7018824,,,1,"['L_s.bmp', 'L_r.bmp']",n,0.75,go
examplefmt1,1,PGNGS_RST_750_english,16.8684844,L_w.bmp,331.4672858,,,1,"['L_s.bmp', 'L_r.bmp']",n,0.75,go
examplefmt1,1,PGNGS_RST_750_english,16.8684844,L_b.bmp,332.2015292,,,1,"['L_s.bmp', 'L_r.bmp']",n,0.75,go
examplefmt1,1,PGNGS_RST_750_english,16.8684844,L_v.bmp,332.9522985,,,1,"['L_s.bmp', 'L_r.bmp']",n,0.75,go
examplefmt1,1,PGNGS_RST_750_english,16.8684844,L_s.bmp,333.702097,n,0.4936184,1,"['L_s.bmp', 'L_r.bmp']",n,0.75,go
examplefmt1,1,PGNGS_RST_750_english,16.8684844,L_q.bmp,334.4526293,,,1,"['L_s.bmp', 'L_r.bmp']",n,0.75,go
examplefmt1,1,PGNGS_RST_750_english,16.8684844,L_d.bmp,335.202462,,,1,"['L_s.bmp', 'L_r.bmp']",n,0.75,go
examplefmt1,1,PGNGS_RST_750_english,16.8684844,L_r.bmp,335.9526069,n,0.4355652,1,"['L_s.bmp', 'L_r.bmp']",n,0.75,go
examplefmt1,1,PGNGS_RST_750_english,16.8684844,L_v.bmp,336.7020391,,,1,"['L_s.bmp', 'L_r.bmp']",n,0.75,go
examplefmt1,1,PGNGS_RST_750_english,16.8684844,L_c.bmp,337.4524799,,,1,"['L_s.bmp', 'L_r.bmp']",n,0.75,go
examplefmt1,1,PGNGS_RST_750_english,16.8684844,L_j.bmp,338.2014742,,,1,"['L_s.bmp', 'L_r.bmp']",n,0.75,go
